"Gateways","Gateways"
"Synchronize Gateways","Synchronize Gateways"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Delete","Delete"
"Edit Gateway '%1'","Edit Gateway '%1'"
"Add Gateway","Add Gateway"
"Gateways Info","Gateways Info"
"General","General"
"Gateway Status","Gateway Status"
"Yes","Yes"
"No","No"
"Gateway Currency","Gateway Currency"
"Gateway ID","Gateway ID"
"Bank Name","Bank Name"
"Gateway Name","Gateway Name"
"Gateway Description","Gateway Description"
"Gateway Sort Order","Gateway Sort Order"
"Gateway Type","Gateway Type"
"Is separated method","Is separated method"
"Gateway Logo URL","Gateway Logo URL"
"Use Own Logo","Use Own Logo"
"Gateway Logo Path","Gateway Logo Path"
"Status Date","Status Date"
"Force Disable","Force Disable"
"Gateways Information","Gateways Information"
"Autopay Refund","Autopay Refund"
"Email","Email"
"Name","Name"
"Add Receiver","Add Receiver"
"Quick online payment","Quick online payment"
"This gateway no longer exists.","This gateway no longer exists."
"The gateway has been deleted.","The gateway has been deleted."
"Autopay","Autopay"
"Manage Gateways","Manage Gateways"
"The gateway has been saved.","The gateway has been saved."
"Gateway list has been synchronized!","Gateway list has been synchronized!"
"Order ID is mandatory.","Order ID is mandatory."
"There is no succeeded payment transaction.","There is no succeeded payment transaction."
"There is no such order.","There is no such order."
"Gateway ID: %1 ","Gateway ID: %1 "
"Name: %1 ","Name: %1 "
"CRON Service","CRON Service"
"Something went wrong. Please try again later.","Something went wrong. Please try again later."
"Passed refund amount is to high! Maximum amount of refund is %1.","Passed refund amount is to high! Maximum amount of refund is %1."
"Invalid response hash!","Invalid response hash!"
"Refunded %1. Transaction ID: ""%2""","Refunded %1. Transaction ID: ""%2"""
"Could not save Autopay Transaction entity: ","Could not save Autopay Transaction entity: "
"Object with id ""%1"" does not exist.","Object with id ""%1"" does not exist."
"You are about to perform a refund from Autopay service. You can do full or partial refund.","You are about to perform a refund from Autopay service. You can do full or partial refund."
"Full refund","Full refund"
"Partial refund","Partial refund"
"Refund amount","Refund amount"
"Refund Autopay","Refund Autopay"
"Max %1","Max %1"
"Send","Send"
"Are you sure you want to perform a refund?","Are you sure you want to perform a refund?"
"Refund request has been successfully sent to Autopay.","Refund request has been successfully sent to Autopay."
"You will be redirected to the Autopay secure service payment after submitting the order.","You will be redirected to the Autopay secure service payment after submitting the order."
"My billing and shipping address are the same","My billing and shipping address are the same"
"Update","Update"
"Cancel","Cancel"
"No online payment is available at this time. Feel free to contact us about that.","No online payment is available at this time. Feel free to contact us about that."
"Choose the way you want to pay.","Choose the way you want to pay."
"Place Order","Place Order"
"%gateways","%gateways"
"%source","%source"
"Refund type is not selected.","Refund type is not selected."
"Invalid refund amount. Example of correct value: 123.23","Invalid refund amount. Example of correct value: 123.23"
"Online payment Autopay","Online payment Autopay"
"Enabled","Enabled"
"Test Mode","Test Mode"
"Status waiting payment","Status waiting payment"
"Status accept payment","Status accept payment"
"Status error payment","Status error payment"
"Status full refund","Status full refund"
"Status partial refund","Status partial refund"
"Unchangeable statuses","Unchangeable statuses"
"Transaction Life Hours","Transaction Life Hours"
"Sort Order","Sort Order"
"Title","Title"
"Enabled disabled gateways notification","Enabled disabled gateways notification"
"Disabled gateways notification Sender Name","Disabled gateways notification Sender Name"
"Disabled gateways notification Receivers","Disabled gateways notification Receivers"
"Disabled gateways notification Template","Disabled gateways notification Template"
"Title Automatic Gateway","Title Automatic Gateway"
"Iframe Payment","Iframe Payment"
"Google Pay merchant ID","Google Pay merchant ID"
"Autopay acceptor ID","Autopay acceptor ID"
"Service partner ID","Service partner ID"
"Configuration key (hash)","Configuration key (hash)"
"PLN configuration","PLN configuration"
"EUR configuration","EUR configuration"
"GBP configuration","GBP configuration"
"USD configuration","USD configuration"
"CZK configuration","CZK configuration"
"RON configuration","RON configuration"
"HUF configuration","HUF configuration"
"BGN configuration","BGN configuration"
"UAH configuration","UAH configuration"
"ID","ID"
